Category,Deal Name,Amount,Price,,
Prepared Meals & Sides,Løgismose færdigret,1000 g,85.-,,
Prepared Meals & Sides,Næmt orientalsk inspireret færdigret,800 g,30.-,,
Prepared Meals & Sides,Peka flødekartofler,Various,10.-,,
Snacks & Sweets,Carletti skum,60 g,10.-,,
Snacks & Sweets,Chocobella mørk chokolade,100 g,14.-,,
Snacks & Sweets,Elephant pretzel,125 g,12.-,,
Snacks & Sweets,Remix slikpose,120 g,15.-,,
Snacks & Sweets,Samba flødeboller,6-pak,25.-,,
Snacks & Sweets,Sereno chilipeanuts,200 g,9.97,,
Drinks-Hot,Amora formalet kaffe,400 g,35.-,,
Drinks-Hot,Lavazza helbønner,Various,149.-,,
Drinks-Hot,Løgismose kaffe helbønner eller formalet kaffe,200 g / 300 g,30.-,,
Drinks-Hot,Merrild mellemristet eller Gevalia original formalet kaffe 3-pak,Various,149.-,,
Drinks-Juice & Soft Drinks,Blue Keld vitamin drik,50 cl,7.-,,
Drinks-Juice & Soft Drinks,Coca-cola sodavand- Hvid fersken jordbær eller vanilje,33 cl,15.-,,
Drinks-Juice & Soft Drinks,Faxe Kondi eller Pepsi Max sodavand,1.5 liter,17.-,,
Drinks-Juice & Soft Drinks,Peter Larsen iskaffe,Various,12.-,,
Drinks-Juice & Soft Drinks,Red Bull,25 cl,10.-,,
Drinks-Juice & Soft Drinks,Rynkeby 16-serien eller Naturig,1 liter,22.-,,
Drinks-Beer & Wine,Auguste Bessac,Various,110.-,,
Drinks-Beer & Wine,Blanc eller ambre,44 cl,4.5,,
Drinks-Beer & Wine,Carlsberg Pilsner eller 1883,Various,45.-,,
Drinks-Beer & Wine,Løgismose Bag-in-Box- Rødvin hvidvin eller rosé,2.25 liter,99.-,,
Drinks-Beer & Wine,Mucho Mas,Various,110.-,,
Drinks-Beer & Wine,Star Golden Zin eller Uno Grande Bag-in-Box,2.25-3 liter,89.-,,
Pet Supplies,Cesar Sheba eller Pedigree snacks,53-150 g,12.-,,
Pet Supplies,Hund hundeposer,40 stk,6.-,,
Pet Supplies,Purina Latz partymix,60 g,10.-,,
Pet Supplies,Raakraft snacks,75-100 g,15.-,,
Pet Supplies,Raakraft tørfoder,5 kg,99.-,,
Pet Supplies,Whiskas menuboks 12-pak eller tørkost,12-pak / Various,42.-,,
Personal Care,Badesvamp 100% genanvendt polyethylen,5 x 30 cm,16.-,,
Personal Care,Badesvamp 100% genanvendt polyethylen,Dia.: 12 cm,16.-,,
Personal Care,Colgate tandpasta,Various,14.-,,
Personal Care,Garnier micellar water L'Oréal Paris dag eller natcreme,50-400 ml,39.-,,
Personal Care,Hårturban 100% økologisk bomuld,24 x 67 cm,30.-,,
Personal Care,Neutral kropspleje,50-500 ml / 200 g,49.-,,
Personal Care,Pantene shampoo eller balsam,160-250 ml,20.-,,
Household & Cleaning,A+ flydende vaskemiddel eller pods,Various,40.-,,
Household & Cleaning,Godt papir toiletpapir eller køkkenrulle,6 rl. / 3 rl.,20.-,,
Household & Cleaning,Vel opvaskemiddel eller Bref WC-blok,475-500 ml / 50 g / 1-pak,15.-,,
Home Textiles,Bademåtte 100% økologisk bomuld,50 x 80 cm,69.-,,
Home Textiles,Håndklæder 100% økologisk bomuld,2-pak 50 x 100 cm,69.-,,
Home Textiles,Håndklæder 100% økologisk bomuld,70 x 140 cm,69.-,,
Home Textiles,Lagen 100% økologisk bomuldssatin Hvid,140 x 200 cm,129.-,,
Home Textiles,Lagen 100% økologisk bomuldssatin Hvid,180 x 200 cm,149.-,,
Home Textiles,Lagen 100% økologisk bomuldssatin Hvid,90 x 200 cm,99.-,,
Home Textiles,Sengetøj 100% økologisk bomuldssatin,140 x 200 cm eller 140 x 220 cm,189.-,,
Home Textiles,Vaskeklude 100% økologisk bomuld,5-pak (30 x 30 cm),40.-,,
Home Goods & Decor,Badeforhæng 100% genanvendt polyester,180 x 200 cm,119.-,,
Home Goods & Decor,Badeværelsestilbehør i marmor- Skål sæbeholder sæbedispenser eller tandbørstekrus,Various,59.-,,
Home Goods & Decor,Brusestangshylde,Metal,40.-,,
Home Goods & Decor,Brusehoved med vandforbrugsindikator,Farvekodet LED-indikator,99.-,,
Home Goods & Decor,Dekoration- Buddhafigur fad eller lysholder,Various,39.-,,
Home Goods & Decor,Duftlys Paraffin,Brændetid ca. 15 timer,30.-,,
Home Goods & Decor,Duftlys Paraffin,Brændetid ca. 20 timer,20.-,,
Home Goods & Decor,Duftolie,100 ml,30.-,,
Home Goods & Decor,Duftolie,200 ml,40.-,,
Home Goods & Decor,Gulvtæppe 100% jute,70 x 140 cm,199.-,,
Home Goods & Decor,Kunstigt bonsaitræ,H: 24-43 cm,149.-,,
Home Goods & Decor,Kurv 100% søgræs,19 x 19 x 14 cm eller 21 x 21 x 14 cm,59.-,,
Home Goods & Decor,Kurv 100% søgræs,20 x 10 x 10 cm eller 2-pak 9 x 9 x 10 cm,40.-,,
Home Goods & Decor,Kurv 100% søgræs,30 x 30 x 19 cm,129.-,,
Home Goods & Decor,Kurv 100% søgræs,38 x 38 x 23 cm,149.-,,
Home Goods & Decor,Kurv 100% søgræs,43 x 43 x 24 cm,169.-,,
Home Goods & Decor,Kurv 100% søgræs,Dia.: 29 cm H: 24 cm,119.-,,
Home Goods & Decor,Lanterne i metal,Dia.: 15.35-17 cm H: 17-18 cm,69.-,,
Home Goods & Decor,Lanterne i metal,Dia.: 25 cm H: 38 cm,139.-,,
Home Goods & Decor,Marmorfad,Dia.: 20 cm x H: 2 cm eller 20 x 20 cm,129.-,,
Home Goods & Decor,Massagebrusehoved med filter,Inkl. 10 bomuldsfiltre,99.-,,
Home Goods & Decor,Ophæng med trådkurve,25 x 15,5 x H: 66-76,5 cm,139.-
Home Goods & Decor,Pyntepude 100% genanvendt polyester,40 x 40 cm,69.-,,
